file,physical_pages,parsed_pages,chars,frag_ratio,avg_line_len,fw_ratio,bad_pages,verdict
1580mm热连轧机精轧区域带钢宽度缺陷分析及改进_陈志荣.pdf,5,5,3603,0.1488,29.78,0.0268,0,健康
1750mm热轧带钢宽度拉窄分析与控制措施_钟海容.pdf,3,3,3973,0.0132,26.14,0.0332,0,健康
1780mm热轧带钢宽度优化_赵照红.pdf,4,4,2551,0.3866,5.91,0.0385,0,可疑
1780mm热连轧机带钢精轧宽度头部拉窄问题及改进_刘杜.pdf,5,5,6782,0.1449,16.11,0.0457,0,健康
1780生产线的带钢宽度控制_杨中方.pdf,5,5,7907,0.0357,23.53,0.4628,0,可疑
1_500_mm热轧带钢宽度拉窄分析及其控制_黄治东.pdf,4,4,6311,0.0093,19.48,0.3558,0,可疑
2050_mm热轧头尾宽度精度提升的工艺优化与实践_汤日辉.pdf,4,4,7289,0.2083,17.87,0.0574,0,健康
AWC在八钢1750mm热轧的应用_郭勇.pdf,3,3,2857,0.3512,11.81,0.0454,1,可疑
CN101930225B-热轧卷取宽度的自动控制方法及其装置.pdf,22,0,0,0.0,0.0,0.0,0,无文本层扫描件
CN111080054A-一种热轧带钢宽度质量自动评价方法及系统.pdf,18,17,10508,0.0273,22.08,0.0445,4,健康
CN111633036A-减少热连轧卷取机建张时局部拉窄的方法.pdf,4,3,1937,0.0,21.29,0.0511,0,健康
CN118114107A-一种带钢板形缺陷的判断方法.pdf,13,13,12613,0.0265,25.69,0.0398,1,健康
CN119114638A-一种提高换规格首卷钢宽度精度的方法.pdf,11,10,7364,0.0183,22.52,0.0502,2,健康
CN119114641A-一种圆盘剪原料宽度异常识别方法.pdf,10,10,7290,0.0189,23.0,0.048,2,健康
CN120268824A-一种热连轧生产线板坯测宽系统冷态补偿方法.pdf,7,7,5241,0.1135,18.59,0.0408,1,健康
CN120571864A-一种应对边厚及局部高点缺陷的卷取方法、系统、设备及介质.pdf,12,12,10194,0.0049,25.11,0.0521,1,健康
CN201210211043-铁素体热轧不锈钢楔形板坯宽度控制方法-申请公开.pdf,5,4,2621,0.0171,22.4,0.0353,0,健康
CN201210211053-楔形板坯的热轧宽度控制方法-申请公开.pdf,11,10,6732,0.0315,23.54,0.0556,3,健康
CN201310418479-一种热连轧缩颈补偿控制方法-申请公开.pdf,11,11,7492,0.0155,19.41,0.0509,1,健康
CN201710273358-一种防止热连轧带钢卷取拉钢的方法-申请公开.pdf,6,5,3081,0.0204,20.96,0.0665,1,健康
CN201811633273-一种薄规格带钢热轧生产系统及生产方法-申请公开.pdf,6,5,3277,0.0072,23.58,0.0396,1,健康
CN201910398201-一种低成本消除板坯楔形的宽度控制方法-申请公开.pdf,7,7,4533,0.0136,20.51,0.0469,1,健康
CN201910398225-一种降低无取向硅钢头部窄尺的生产方法-申请公开.pdf,5,4,3801,0.0053,20.22,0.0621,0,健康
CN202110316202-一种极薄钢带卷取张力控制方法-申请公开.pdf,12,12,6690,0.0239,19.97,0.0537,3,健康
CN202210117874-一种楔形坯的轧制方法-申请公开.pdf,6,5,2783,0.0286,19.88,0.0726,1,健康
CN202210326872-一种两段式卷取张力控制方法-申请公开.pdf,16,16,6040,0.0407,22.37,0.0376,5,健康
CN202211035514-一种带钢生产的控制方法、系统以及控制设备-申请公开.pdf,13,11,7595,0.0292,22.14,0.0443,3,健康
CN202211355587-一种基于深度学习的带钢卷形缺陷预测与诊断方法-申请公开.pdf,13,12,9141,0.0143,21.71,0.0442,1,健康
CN202310218513-改善热轧带钢卷取拉窄的控制方法-申请公开.pdf,9,8,5880,0.0859,22.97,0.043,2,健康
CN202310220053-一种精轧立辊的辊缝控制方法和装置-申请公开.pdf,13,13,12151,0.0184,24.85,0.0536,1,健康
CN202311403387-轧制的宽度补偿自调节方法及相关设备-申请公开.pdf,12,11,8421,0.0284,21.7,0.0384,2,健康
CN202311740628-一种提高带钢宽度精度的控制方法-申请公开.pdf,6,5,3184,0.0134,21.37,0.0473,1,健康
